id,specz1,photoz1,ra1,dec1,vote1
1,0.0795521,0.100116,238.20399,-0.52655691,0.469424
2,0.0706858,0.152865,241.7177,-0.005231494,0.681166
3,0.0951231,0.113314,176.99812,-1.1100186,0.559194
4,0.0820105,0.145958,182.12173,-0.68802363,0.45849
5,0.0507985,0.0825493,183.43852,-0.83456528,0.611347
6,0.076065,0.117096,189.59276,-0.83151948,0.516425
7,0.0847253,0.191155,197.57454,-0.67317915,0.519079
8,0.0948751,0.08757,179.67529,-0.2142003,0.468241
9,0.0718367,0.0388848,184.24376,-0.22188111,0.431776
10,0.0714235,0.106012,192.38641,-0.37657821,0.465884
11,0.0467913,0.0435924,195.01579,-0.3709543,0.416488
12,0.0740866,0.0383916,236.16632,-0.41877106,0.804676
13,0.0452573,0.0327413,245.29564,-0.39669478,0.861398
14,0.0923454,0.122444,245.87302,-0.36460844,0.528685
15,0.091636,0.123426,248.01295,-0.26182222,0.574024
16,0.0702123,0.0630264,248.41359,-0.21559301,0.809227
17,0.0729559,0.123748,169.96622,0.071827717,0.511885
18,0.0316585,0.175537,215.6151,0.059047092,0.739194
19,0.0861315,0.0845228,225.62479,0.12735072,0.68957
20,0.0761707,0.129015,230.35129,0.11414887,0.587228
21,0.0744968,0.0772714,241.66371,0.03296705,0.523079
22,0.077432,0.143406,168.80379,0.59285289,0.542576
23,0.0608341,0.0958056,181.52448,0.46385905,0.489366
24,0.0230855,0.0627221,187.78488,0.61370295,0.431757
25,0.0441613,0.0481549,188.52196,0.48102909,0.446835
26,0.0812854,0.099104,199.17114,0.58908474,0.437297
27,0.0480709,0.0800082,207.98492,0.55110866,0.77504
28,0.0771861,0.170861,214.30476,0.53509635,0.40409
29,0.052806,0.101684,214.50905,0.48422593,0.718243
30,0.0442783,0.178028,244.2827,0.44840577,0.821802
31,0.0612464,0.05483,166.95255,0.92430109,0.596337
32,0.0743948,0.0648278,170.83278,1.0213792,0.430442
33,0.0989629,0.114775,197.31468,0.94463521,0.696836
34,0.0696109,0.0468422,211.25018,0.84686267,0.618723
35,0.0736309,0.146056,221.53569,0.86433047,0.619017
36,0.0437764,0.0288316,223.93597,0.86612374,0.88379
37,0.0488154,0.0414693,19.204863,13.458475,0.492913
38,0.0720399,0.235471,22.657326,13.214437,0.982491
39,0.0319488,0.038057,29.943436,12.4575,0.485974
40,0.07712,0.116138,14.077903,15.421529,0.484982
41,0.0453898,0.0822593,18.205942,15.50769,0.695756
42,0.0943312,0.0835984,7.3046775,14.394567,0.459784
43,0.0526988,0.0957272,18.14809,14.012487,0.671316
44,0.0617009,0.115525,18.495628,14.011996,0.605615
45,0.0995962,0.0996773,32.647232,12.918221,0.402605
